"","Sample","Experiment","Temperature","Treatment","Week","is.neg","Observed","Shannon","InvSimpson","Evenness"
"MM_Inield_1_","MM_Inield_1_","Field",NA,"ND",NA,FALSE,1742,6.54256161564916,274.705041716054,0.876691204541232
"MM_Inield_10_","MM_Inield_10_","Field",NA,"Many Small",NA,FALSE,2058,6.79268542707411,411.404743295277,0.890319733233832
"MM_Inield_11_","MM_Inield_11_","Field",NA,"Few Small",NA,FALSE,2202,6.82373632862933,357.556415315851,0.88653095713949
"MM_Inield_12_","MM_Inield_12_","Field",NA,"Few Small",NA,FALSE,2316,6.81373935480994,360.448816762768,0.879464883972912
"MM_Inield_2_","MM_Inield_2_","Field",NA,"ND",NA,FALSE,2097,6.81356457489689,414.972260113205,0.890864310937984
"MM_Inield_3_","MM_Inield_3_","Field",NA,"ND",NA,FALSE,2040,6.79849831244364,401.950327388712,0.892108831791082
"MM_Inield_4_","MM_Inield_4_","Field",NA,"ND",NA,FALSE,2585,7.00863508509622,482.515639218677,0.891969738792501
"MM_Inield_5_","MM_Inield_5_","Field",NA,"ND",NA,FALSE,2592,6.9327967062612,360.363012705836,0.882014438027848
"MM_Inield_6_","MM_Inield_6_","Field",NA,"Many Small",NA,FALSE,1500,6.59307579841008,317.466344830645,0.901528389606382
"MM_Inield_7_","MM_Inield_7_","Field",NA,"Many Small",NA,FALSE,2281,6.80500774359986,281.997429855025,0.880067615497212
"MM_Inield_8_","MM_Inield_8_","Field",NA,"Many Small",NA,FALSE,1858,6.65557857936018,245.529607340977,0.884197196249158
"MM_Inield_9_","MM_Inield_9_","Field",NA,"Many Small",NA,FALSE,2440,6.95030428950309,411.39300157374,0.891092834078156
"MM_Inield_G1_","MM_Inield_G1_","Field",NA,"Few Small",NA,FALSE,2013,6.74487296060092,346.817370242245,0.88662216119046
"MM_Inield_G2_","MM_Inield_G2_","Field",NA,"Few Small",NA,FALSE,2564,6.93595199965188,359.016058690016,0.883636878849434
"MM_Inield_G3_","MM_Inield_G3_","Field",NA,"HD",NA,FALSE,2015,6.74368899979647,303.966215092244,0.8863508259884
"MM_Inield_G4_","MM_Inield_G4_","Field",NA,"HD",NA,FALSE,1847,6.78572687134571,415.587924008245,0.902199174294976
"MM_Inield_G5_","MM_Inield_G5_","Field",NA,"HD",NA,FALSE,1898,6.70727273239713,381.496943545361,0.888550439435801
"MM_Inield_G6_","MM_Inield_G6_","Field",NA,"HD",NA,FALSE,1797,6.66941031643526,376.676715161461,0.889981659312101
"MM_Inield_G7_","MM_Inield_G7_","Field",NA,"HD",NA,FALSE,1954,6.7274445745101,380.09404744592,0.887802805351363
