"","Sample","Experiment","Temperature","Treatment","Week","is.neg","Observed","Shannon","InvSimpson","Evenness"
"MM_TEMP_E12_","MM_TEMP_E12_","Temp",26,"",1,FALSE,1487,6.4043335314168,231.330005324361,0.876763577266254
"MM_TEMP_1_","MM_TEMP_1_","Temp",26,"",1,FALSE,1603,6.54400048623294,300.91990455469,0.88676513285542
"MM_TEMP_10_","MM_TEMP_10_","Temp",29,"",1,FALSE,1534,6.37476134386836,162.085566245777,0.869013006861283
"MM_TEMP_11_","MM_TEMP_11_","Temp",29,"",1,FALSE,1280,6.23797820020603,213.926792174209,0.871881699996371
"MM_TEMP_12_","MM_TEMP_12_","Temp",29,"",3,FALSE,2001,6.91952315872923,494.520637688099,0.910295607857488
"MM_TEMP_2_","MM_TEMP_2_","Temp",26,"",1,FALSE,1301,5.7989115463134,76.125032777897,0.80867406649675
"MM_TEMP_3_","MM_TEMP_3_","Temp",26,"",3,FALSE,1470,6.58646859737864,359.655499932681,0.903119790268196
"MM_TEMP_4_","MM_TEMP_4_","Temp",26,"",3,FALSE,1445,6.53392711696082,318.01705093869,0.898027585129886
"MM_TEMP_5_","MM_TEMP_5_","Temp",26,"",3,FALSE,1969,6.72463174076799,366.935446012433,0.886536922106314
"MM_TEMP_6_","MM_TEMP_6_","Temp",26,"",5,FALSE,2322,6.93040651836424,408.815012157361,0.894224753021253
"MM_TEMP_7_","MM_TEMP_7_","Temp",26,"",5,FALSE,1377,6.3335085852771,232.394977986616,0.876287262498929
"MM_TEMP_8_","MM_TEMP_8_","Temp",26,"",5,FALSE,1291,6.29159488349943,221.906219206652,0.87832520847035
"MM_TEMP_9_","MM_TEMP_9_","Temp",29,"",1,FALSE,1399,6.03337076395156,103.222903224784,0.832934348989717
"MM_TEMP_G1_","MM_TEMP_G1_","Temp",29,"",3,FALSE,2322,6.78501881868611,252.456218041396,0.87546549561081
"MM_TEMP_G10_","MM_TEMP_G10_","Temp",31,"",3,FALSE,1852,6.64045875182412,302.779226649276,0.882567763351083
"MM_TEMP_G11_","MM_TEMP_G11_","Temp",31,"",3,FALSE,1457,6.22872198001348,116.1945938365,0.855108004689302
"MM_TEMP_G12_","MM_TEMP_G12_","Temp",31,"",5,FALSE,1434,6.4840895164606,293.960661547461,0.892114826083878
"MM_TEMP_G2_","MM_TEMP_G2_","Temp",29,"",3,FALSE,1782,6.53443677800643,274.686735991981,0.872946911194985
"MM_TEMP_G3_","MM_TEMP_G3_","Temp",29,"",5,FALSE,1754,6.77997299957121,447.789630933324,0.907668928521467
"MM_TEMP_G4_","MM_TEMP_G4_","Temp",29,"",5,FALSE,1741,6.73716350274499,402.098104962706,0.902836966922622
"MM_TEMP_G5_","MM_TEMP_G5_","Temp",29,"",5,FALSE,1421,6.35429845663004,223.56752200685,0.875354291693327
"MM_TEMP_G6_","MM_TEMP_G6_","Temp",31,"",1,FALSE,1345,6.38340018191564,236.01393681888,0.886072723253026
"MM_TEMP_G7_","MM_TEMP_G7_","Temp",31,"",1,FALSE,1400,6.49130585562911,316.079684406772,0.896065983798476
"MM_TEMP_G8_","MM_TEMP_G8_","Temp",31,"",1,FALSE,1396,6.31051693921332,185.357964804638,0.871453906943936
"MM_TEMP_G9_","MM_TEMP_G9_","Temp",31,"",3,FALSE,1062,5.37948583302227,39.0941311886892,0.772037303762676
"MM_TEMP_H1_","MM_TEMP_H1_","Temp",31,"",5,FALSE,1336,6.08363069476934,149.263964083194,0.845249786273759
"MM_TEMP_H10_","MM_TEMP_H10_","Temp",33,"",5,FALSE,1648,6.63894120314078,298.137404796553,0.896267915409836
"MM_TEMP_H11_","MM_TEMP_H11_","Temp",33,"",5,FALSE,1124,6.05948140970097,169.714126855496,0.862602726973488
"MM_TEMP_H2_","MM_TEMP_H2_","Temp",31,"",5,FALSE,1010,5.53015556860321,58.4067324680115,0.799420484262971
"MM_TEMP_H3_","MM_TEMP_H3_","Temp",33,"",1,FALSE,1331,6.37329893175378,267.253398953064,0.885957364923624
"MM_TEMP_H4_","MM_TEMP_H4_","Temp",33,"",1,FALSE,1755,6.63933669601506,325.544081645672,0.888773425700592
"MM_TEMP_H5_","MM_TEMP_H5_","Temp",33,"",1,FALSE,1452,6.33817328705566,238.485396368424,0.870544827914757
"MM_TEMP_H6_","MM_TEMP_H6_","Temp",33,"",3,FALSE,1104,5.23757909409792,17.9688438221709,0.747510620133291
"MM_TEMP_H7_","MM_TEMP_H7_","Temp",33,"",3,FALSE,1509,6.31832734224896,127.683544316212,0.86325352766818
"MM_TEMP_H8_","MM_TEMP_H8_","Temp",33,"",3,FALSE,1096,5.90480839210257,57.5070907318026,0.843613658057261
"MM_TEMP_H9_","MM_TEMP_H9_","Temp",33,"",5,FALSE,1454,6.309968408515,196.52272563937,0.866507083665923
