"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","sq8","MM_Inield_8_",0.151580884023077,"MM_Inield_8_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"2","sq8","MM_Inield_7_",0.146046763599075,"MM_Inield_7_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"3","sq14","MM_Inield_1_",0.138456517600558,"MM_Inield_1_","Field",NA,"ND",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"4","sq8","MM_Inield_G3_",0.136884693189481,"MM_Inield_G3_","Field",NA,"HD",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"5","sq14","MM_Inield_G2_",0.131714652160453,"MM_Inield_G2_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"6","sq8","MM_Inield_12_",0.12996090595273,"MM_Inield_12_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"7","sq8","MM_Inield_11_",0.128322961257599,"MM_Inield_11_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"8","sq8","MM_Inield_G4_",0.127869532336367,"MM_Inield_G4_","Field",NA,"HD",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"9","sq14","MM_Inield_3_",0.12666612730325,"MM_Inield_3_","Field",NA,"ND",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"10","sq8","MM_Inield_10_",0.117787324061274,"MM_Inield_10_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"11","sq8","MM_Inield_5_",0.116090109317626,"MM_Inield_5_","Field",NA,"ND",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"12","sq8","MM_Inield_G7_",0.111529029997972,"MM_Inield_G7_","Field",NA,"HD",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"13","sq8","MM_Inield_6_",0.111081872883883,"MM_Inield_6_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"14","sq14","MM_Inield_G7_",0.102291793425153,"MM_Inield_G7_","Field",NA,"HD",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"15","sq14","MM_Inield_G6_",0.101609793282812,"MM_Inield_G6_","Field",NA,"HD",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"16","sq14","MM_Inield_5_",0.0997470822024855,"MM_Inield_5_","Field",NA,"ND",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"17","sq8","MM_Inield_G1_",0.0993900152724812,"MM_Inield_G1_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"18","sq14","MM_Inield_9_",0.0970381857544258,"MM_Inield_9_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"19","sq15","MM_Inield_8_",0.0953754599554808,"MM_Inield_8_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"20","sq14","MM_Inield_4_",0.0944967506469205,"MM_Inield_4_","Field",NA,"ND",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
