"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","sq8","MM_Nab_A4_",0.151287106494839,"MM_Nab_A4_","Summer",22,"Few Small",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"2","sq12","MM_Nab_B12_",0.136577210227437,"MM_Nab_B12_","Summer",22,"ND",5,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae",NA,NA
"3","sq8","Mat_4P_TATAAT_",0.120713134518559,"Mat_4P_TATAAT_","Summer",26,"Few Large",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"4","sq64","Mat_20P_TCCCGA_",0.119294397503823,"Mat_20P_TCCCGA_","Summer",22,"Few Small",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"5","sq19","Mat_24P_TCCCGA_",0.118776972329563,"Mat_24P_TCCCGA_","Summer",22,"Many Small",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"6","sq85","Mat_11P_TCATTC_",0.118517399129013,"Mat_11P_TCATTC_","Summer",26,"Many Small",1,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA
"7","sq64","Mat_26P_TCCCGA_",0.11717454661545,"Mat_26P_TCCCGA_","Summer",22,"ND",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"8","sq19","Mat_15P_TCATTC_",0.114696865556028,"Mat_15P_TCATTC_","Summer",22,"HD",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"9","sq8","MM_Nab_B3_",0.11239371586238,"MM_Nab_B3_","Summer",22,"Few Large",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"10","sq64","Mat_24P_TCCCGA_",0.111936930584154,"Mat_24P_TCCCGA_","Summer",22,"Many Small",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"11","sq8","MM_Nab_C7_",0.108862160351807,"MM_Nab_C7_","Summer",26,"Many Small",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"12","sq15","MM_Nab_A4_",0.106887542476117,"MM_Nab_A4_","Summer",22,"Few Small",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"13","sq64","Mat_9P_TCATTC_",0.105393881096292,"Mat_9P_TCATTC_","Summer",26,"Many Small",1,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"14","sq15","Mat_33P_TCGGCA_",0.102000976085896,"Mat_33P_TCGGCA_","Summer",26,"Few Small",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"15","sq64","Mat_31P_TCGGCA_",0.101101067083532,"Mat_31P_TCGGCA_","Summer",26,"Few Small",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"16","sq64","Mat_22P_TCCCGA_",0.100313895397674,"Mat_22P_TCCCGA_","Summer",22,"Many Small",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"17","sq8","Mat_2P_TATAAT_",0.100269614857436,"Mat_2P_TATAAT_","Summer",22,"ND",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"18","sq8","Mat_19P_TCCCGA_",0.10002045129184,"Mat_19P_TCCCGA_","Summer",22,"Few Small",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"19","sq40","Mat_1P_TATAAT_",0.0998125426039536,"Mat_1P_TATAAT_","Summer",22,"HD",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA,NA
