"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","sq15","MM_TEMP_H6_",0.287128511607107,"MM_TEMP_H6_","Temp",33,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"2","sq15","MM_TEMP_H2_",0.22433341152553,"MM_TEMP_H2_","Temp",31,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"3","sq15","MM_TEMP_H1_",0.176227231809389,"MM_TEMP_H1_","Temp",31,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"4","sq15","MM_TEMP_H8_",0.167990348848899,"MM_TEMP_H8_","Temp",33,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"5","sq15","MM_TEMP_H11_",0.148038093382371,"MM_TEMP_H11_","Temp",33,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"6","sq29","MM_TEMP_2_",0.144282783062861,"MM_TEMP_2_","Temp",26,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"7","sq169","MM_TEMP_G9_",0.142852837013036,"MM_TEMP_G9_","Temp",31,"",3,FALSE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae",NA,NA
"8","sq8","MM_TEMP_9_",0.130837535628152,"MM_TEMP_9_","Temp",29,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"9","sq15","MM_TEMP_G9_",0.123773641775299,"MM_TEMP_G9_","Temp",31,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"10","sq8","MM_TEMP_7_",0.122419045469931,"MM_TEMP_7_","Temp",26,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"11","sq15","MM_TEMP_H9_",0.121572118182752,"MM_TEMP_H9_","Temp",33,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"12","sq15","MM_TEMP_G12_",0.116690745709432,"MM_TEMP_G12_","Temp",31,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"13","sq29","MM_TEMP_H11_",0.116520934310836,"MM_TEMP_H11_","Temp",33,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"14","sq15","MM_TEMP_H7_",0.114609155511486,"MM_TEMP_H7_","Temp",33,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"15","sq15","MM_TEMP_10_",0.114405569831543,"MM_TEMP_10_","Temp",29,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16","sq124","MM_TEMP_2_",0.108818317478082,"MM_TEMP_2_","Temp",26,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Order_Chitinophagales",NA,NA
"17","sq29","MM_TEMP_H9_",0.108716491492348,"MM_TEMP_H9_","Temp",33,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"18","sq91","MM_TEMP_8_",0.10711315386299,"MM_TEMP_8_","Temp",26,"",5,FALSE,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"19","sq8","MM_TEMP_2_",0.106276814027234,"MM_TEMP_2_","Temp",26,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"20","sq8","MM_TEMP_G1_",0.104137957191802,"MM_TEMP_G1_","Temp",29,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"21","sq15","MM_TEMP_9_",0.101439742746474,"MM_TEMP_9_","Temp",29,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"22","sq29","MM_TEMP_G5_",0.0978054906799454,"MM_TEMP_G5_","Temp",29,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"23","sq67","MM_TEMP_G5_",0.095447935486714,"MM_TEMP_G5_","Temp",29,"",5,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"24","sq546","MM_TEMP_G9_",0.0949287921030819,"MM_TEMP_G9_","Temp",31,"",3,FALSE,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Fusibacteraceae",NA,NA
"25","sq8","MM_TEMP_3_",0.0935883918260782,"MM_TEMP_3_","Temp",26,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"26","sq29","MM_TEMP_H6_",0.0929178355083953,"MM_TEMP_H6_","Temp",33,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"27","sq15","MM_TEMP_H10_",0.0904174826419797,"MM_TEMP_H10_","Temp",33,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"28","sq15","MM_TEMP_G6_",0.089672375662192,"MM_TEMP_G6_","Temp",31,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"29","sq15","MM_TEMP_G5_",0.0889701670118538,"MM_TEMP_G5_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"30","sq8","MM_TEMP_10_",0.0876765280797698,"MM_TEMP_10_","Temp",29,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"31","sq8","MM_TEMP_H4_",0.0876295624312378,"MM_TEMP_H4_","Temp",33,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"32","sq85","MM_TEMP_9_",0.087608711539867,"MM_TEMP_9_","Temp",29,"",1,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA
"33","sq15","MM_TEMP_G4_",0.0870140682706061,"MM_TEMP_G4_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"34","sq8","MM_TEMP_12_",0.0868080862326902,"MM_TEMP_12_","Temp",29,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"35","sq8","MM_TEMP_1_",0.0867933430556747,"MM_TEMP_1_","Temp",26,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"36","sq109","MM_TEMP_G2_",0.0857490902362302,"MM_TEMP_G2_","Temp",29,"",3,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA
"37","sq14","MM_TEMP_E12_",0.0828366848175621,"MM_TEMP_E12_","Temp",26,"",1,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"38","sq15","MM_TEMP_2_",0.0811882111546354,"MM_TEMP_2_","Temp",26,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"39","sq14","MM_TEMP_3_",0.0789526535120751,"MM_TEMP_3_","Temp",26,"",3,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"40","sq15","MM_TEMP_H4_",0.0775540929182188,"MM_TEMP_H4_","Temp",33,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"41","sq8","MM_TEMP_H11_",0.0769418126019924,"MM_TEMP_H11_","Temp",33,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"42","sq15","MM_TEMP_6_",0.0768948767299056,"MM_TEMP_6_","Temp",26,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"43","sq15","MM_TEMP_G10_",0.076704431722647,"MM_TEMP_G10_","Temp",31,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"44","sq14","MM_TEMP_H7_",0.0751941827797058,"MM_TEMP_H7_","Temp",33,"",3,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"45","sq15","MM_TEMP_7_",0.0741283989619767,"MM_TEMP_7_","Temp",26,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"46","sq109","MM_TEMP_H8_",0.0737240709091518,"MM_TEMP_H8_","Temp",33,"",3,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA
"47","sq15","MM_TEMP_12_",0.0734780774099505,"MM_TEMP_12_","Temp",29,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"48","sq8","MM_TEMP_G2_",0.0722722506630482,"MM_TEMP_G2_","Temp",29,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"49","sq8","MM_TEMP_H9_",0.0715704063815947,"MM_TEMP_H9_","Temp",33,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"50","sq8","MM_TEMP_H10_",0.0714349296777639,"MM_TEMP_H10_","Temp",33,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"51","sq67","MM_TEMP_H2_",0.0712591550029974,"MM_TEMP_H2_","Temp",31,"",5,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"52","sq8","MM_TEMP_4_",0.0710912969487788,"MM_TEMP_4_","Temp",26,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"53","sq29","MM_TEMP_G4_",0.0709177465149543,"MM_TEMP_G4_","Temp",29,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"54","sq14","MM_TEMP_G11_",0.0694119566991242,"MM_TEMP_G11_","Temp",31,"",3,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"55","sq8","MM_TEMP_H2_",0.0693043500925274,"MM_TEMP_H2_","Temp",31,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"56","sq15","MM_TEMP_11_",0.0690006624878969,"MM_TEMP_11_","Temp",29,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"57","sq15","MM_TEMP_H3_",0.06857885365032,"MM_TEMP_H3_","Temp",33,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"58","sq3","MM_TEMP_G11_",0.0680520045694391,"MM_TEMP_G11_","Temp",31,"",3,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae",NA,NA
"59","sq15","MM_TEMP_G3_",0.0677056432597516,"MM_TEMP_G3_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"60","sq8","MM_TEMP_G8_",0.067629550112228,"MM_TEMP_G8_","Temp",31,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"61","sq8","MM_TEMP_11_",0.0672425215308566,"MM_TEMP_11_","Temp",29,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"62","sq8","MM_TEMP_G3_",0.0672116053984864,"MM_TEMP_G3_","Temp",29,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"63","sq8","MM_TEMP_E12_",0.0668010118766882,"MM_TEMP_E12_","Temp",26,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"64","sq91","MM_TEMP_G1_",0.0665764820410382,"MM_TEMP_G1_","Temp",29,"",3,FALSE,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"65","sq8","MM_TEMP_G4_",0.0661571632901394,"MM_TEMP_G4_","Temp",29,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"66","sq8","MM_TEMP_H3_",0.0661003898166418,"MM_TEMP_H3_","Temp",33,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"67","sq15","MM_TEMP_H5_",0.0658866995073892,"MM_TEMP_H5_","Temp",33,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"68","sq15","MM_TEMP_1_",0.0656258042377971,"MM_TEMP_1_","Temp",26,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"69","sq15","MM_TEMP_G8_",0.0653654728213136,"MM_TEMP_G8_","Temp",31,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"70","sq91","MM_TEMP_G2_",0.0649016221550607,"MM_TEMP_G2_","Temp",29,"",3,FALSE,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"71","sq29","MM_TEMP_G12_",0.0648228999634845,"MM_TEMP_G12_","Temp",31,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"72","sq8","MM_TEMP_6_",0.0645334983044634,"MM_TEMP_6_","Temp",26,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"73","sq91","MM_TEMP_11_",0.0644906487285328,"MM_TEMP_11_","Temp",29,"",1,FALSE,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"74","sq14","MM_TEMP_H3_",0.064223494874633,"MM_TEMP_H3_","Temp",33,"",1,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"75","sq109","MM_TEMP_H5_",0.0641983155887494,"MM_TEMP_H5_","Temp",33,"",1,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA
"76","sq15","MM_TEMP_E12_",0.0638854349783476,"MM_TEMP_E12_","Temp",26,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"77","sq29","MM_TEMP_H2_",0.0632835509682801,"MM_TEMP_H2_","Temp",31,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"78","sq26","MM_TEMP_H5_",0.063145558557127,"MM_TEMP_H5_","Temp",33,"",1,FALSE,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA,NA
"79","sq15","MM_TEMP_G1_",0.0629985966597975,"MM_TEMP_G1_","Temp",29,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"80","sq26","MM_TEMP_G7_",0.0628553163314231,"MM_TEMP_G7_","Temp",31,"",1,FALSE,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA,NA
"81","sq8","MM_TEMP_H1_",0.0618068989293444,"MM_TEMP_H1_","Temp",31,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"82","sq15","MM_TEMP_8_",0.0617421755307508,"MM_TEMP_8_","Temp",26,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"83","sq29","MM_TEMP_6_",0.0612913573457978,"MM_TEMP_6_","Temp",26,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"84","sq14","MM_TEMP_H5_",0.0603845542666455,"MM_TEMP_H5_","Temp",33,"",1,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"85","sq8","MM_TEMP_8_",0.0597504924491136,"MM_TEMP_8_","Temp",26,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
