"","Sample","Experiment","Temperature","Treatment","Week","is.neg"
"MM_TEMP_E12_","MM_TEMP_E12_","Temp","26","","1",FALSE
"MM_TEMP_1_","MM_TEMP_1_","Temp","26","","1",FALSE
"MM_TEMP_10_","MM_TEMP_10_","Temp","29","","1",FALSE
"MM_TEMP_11_","MM_TEMP_11_","Temp","29","","1",FALSE
"MM_TEMP_12_","MM_TEMP_12_","Temp","29","","3",FALSE
"MM_TEMP_2_","MM_TEMP_2_","Temp","26","","1",FALSE
"MM_TEMP_3_","MM_TEMP_3_","Temp","26","","3",FALSE
"MM_TEMP_4_","MM_TEMP_4_","Temp","26","","3",FALSE
"MM_TEMP_5_","MM_TEMP_5_","Temp","26","","3",FALSE
"MM_TEMP_6_","MM_TEMP_6_","Temp","26","","5",FALSE
"MM_TEMP_7_","MM_TEMP_7_","Temp","26","","5",FALSE
"MM_TEMP_8_","MM_TEMP_8_","Temp","26","","5",FALSE
"MM_TEMP_9_","MM_TEMP_9_","Temp","29","","1",FALSE
"MM_TEMP_G1_","MM_TEMP_G1_","Temp","29","","3",FALSE
"MM_TEMP_G10_","MM_TEMP_G10_","Temp","31","","3",FALSE
"MM_TEMP_G11_","MM_TEMP_G11_","Temp","31","","3",FALSE
"MM_TEMP_G12_","MM_TEMP_G12_","Temp","31","","5",FALSE
"MM_TEMP_G2_","MM_TEMP_G2_","Temp","29","","3",FALSE
"MM_TEMP_G3_","MM_TEMP_G3_","Temp","29","","5",FALSE
"MM_TEMP_G4_","MM_TEMP_G4_","Temp","29","","5",FALSE
"MM_TEMP_G5_","MM_TEMP_G5_","Temp","29","","5",FALSE
"MM_TEMP_G6_","MM_TEMP_G6_","Temp","31","","1",FALSE
"MM_TEMP_G7_","MM_TEMP_G7_","Temp","31","","1",FALSE
"MM_TEMP_G8_","MM_TEMP_G8_","Temp","31","","1",FALSE
"MM_TEMP_G9_","MM_TEMP_G9_","Temp","31","","3",FALSE
"MM_TEMP_H1_","MM_TEMP_H1_","Temp","31","","5",FALSE
"MM_TEMP_H10_","MM_TEMP_H10_","Temp","33","","5",FALSE
"MM_TEMP_H11_","MM_TEMP_H11_","Temp","33","","5",FALSE
"MM_TEMP_H2_","MM_TEMP_H2_","Temp","31","","5",FALSE
"MM_TEMP_H3_","MM_TEMP_H3_","Temp","33","","1",FALSE
"MM_TEMP_H4_","MM_TEMP_H4_","Temp","33","","1",FALSE
"MM_TEMP_H5_","MM_TEMP_H5_","Temp","33","","1",FALSE
"MM_TEMP_H6_","MM_TEMP_H6_","Temp","33","","3",FALSE
"MM_TEMP_H7_","MM_TEMP_H7_","Temp","33","","3",FALSE
"MM_TEMP_H8_","MM_TEMP_H8_","Temp","33","","3",FALSE
"MM_TEMP_H9_","MM_TEMP_H9_","Temp","33","","5",FALSE
