"SampleID","PCoA1","PCoA2","Treatment","Temperature"
"Mat_10P_TCATTC_",-4.8998648197409,-63.6861219947436,"Many Small","26"
"Mat_11P_TCATTC_",39.4810604726978,-16.9701653982656,"Many Small","26"
"Mat_12P_TCATTC_",11.8144841692882,-57.2858364449175,"ND","26"
"Mat_13P_TCATTC_",-40.0758622481576,33.7943529543589,"HD","22"
"Mat_14P_TCATTC_",-9.92880058605678,53.7476570948224,"HD","22"
"Mat_15P_TCATTC_",-15.6262627866032,-1.35510687111571,"HD","22"
"Mat_16P_TCATTC_",59.7099797415152,1.02755856311041,"Few Large","22"
"Mat_17P_TCATTC_",-17.2936776664434,-8.12748484074821,"Few Large","22"
"Mat_18P_TCCCGA_",-33.3012307395057,-22.8668331048914,"Few Large","22"
"Mat_19P_TCCCGA_",-33.2665341910832,-8.37603409633773,"Few Small","22"
"Mat_1P_TATAAT_",-2.5660840928941,-35.0737908669101,"HD","22"
"Mat_20P_TCCCGA_",46.0827593984951,-20.1324714535273,"Few Small","22"
"Mat_21P_TCCCGA_",16.7241057384583,27.0096077415341,"Few Small","22"
"Mat_22P_TCCCGA_",2.15967485699482,-14.4051471672227,"Many Small","22"
"Mat_23P_TCCCGA_",0.457657998738959,-39.444979582689,"Many Small","22"
"Mat_24P_TCCCGA_",59.0079390079694,7.50289972875029,"Many Small","22"
"Mat_25P_TCCCGA_",-54.9740767207005,5.41191321844926,"ND","22"
"Mat_26P_TCCCGA_",14.8544984057923,-57.962048647612,"ND","22"
"Mat_27P_TCCCGA_",-53.5566865369912,40.8041655721406,"ND","22"
"Mat_28P_TCCCGA_",-18.1967608892253,-3.75098527999886,"Few Large","26"
"Mat_29P_TCCCGA_",-57.5821671337732,5.69789895184885,"Few Large","26"
"Mat_2P_TATAAT_",-60.6123846274303,4.07948940794574,"ND","22"
"Mat_30P_TCGGCA_",54.6395005508394,14.3088377769216,"Few Large","26"
"Mat_31P_TCGGCA_",-10.6265136042039,-10.1812777950102,"Few Small","26"
"Mat_32P_TCGGCA_",43.4715227099143,-5.69377211609208,"Few Small","26"
"Mat_33P_TCGGCA_",48.3276068228217,-1.55186862916326,"Few Small","26"
"Mat_34P_TCGGCA_",-24.4845427692538,-29.5191835210959,"Many Small","26"
"Mat_35P_TCGGCA_",-4.82184073371156,-33.0971576052209,"Many Small","26"
"Mat_36P_TCGGCA_",59.7742492846153,8.7642272366639,"Many Small","26"
"Mat_37P_TCGGCA_",37.5099433359714,5.75664659361576,"ND","26"
